country_id,country
0,Austria
1,Iraq
2,India
3,Indonesia
4,Sweden
5,Malta
6,Morocco
7,Australia
8,Botswana
9,Uruguay
10,Ethiopia
11,Lithuania
12,Singapore
13,Martinique
14,Switzerland
15,Macedonia
16,Algeria
17,Albania
18,Portugal
19,Turkey
20,Malaysia
21,Slovenia
22,Israel
23,Monaco
24,Tanzania
25,Iceland
26,Belarus
27,Poland
28,Tajikistan
29,Vietnam
30,China
31,Norway
32,Pakistan
33,Soviet Union
34,Georgia
35,Cambodia
36,Palestinian Territory
37,Taiwan
38,United States of America
39,Bolivia
40,Egypt
41,Czechoslovakia
42,Kazakhstan
43,Czech Republic
44,Qatar
45,South Korea
46,Colombia
47,Peru
48,Aruba
49,South Africa
50,Brazil
51,Afghanistan
52,Ireland
53,Estonia
54,Nicaragua
55,Libyan Arab Jamahiriya
56,Chile
57,Liechtenstein
58,Philippines
59,Bulgaria
60,Congo
61,Netherlands
62,Canada
63,Hong Kong
64,Cameroon
65,Romania
66,Luxembourg
67,Argentina
68,United Kingdom
69,Yugoslavia
70,East Germany
71,Thailand
72,Germany
73,Venezuela
74,Italy
75,United Arab Emirates
76,Latvia
77,Bosnia and Herzegovina
78,Burkina Faso
79,Cuba
80,Spain
81,Russia
82,Ukraine
83,Lebanon
84,Dominican Republic
85,Iran
86,Greecee
87,Mauritania
88,Hungary
89,Mexico
90,Trinidad and Tobago
91,Armenia
92,Belgium
93,New Zealand
94,Finland
95,Croatia
96,Japan
97,France
98,Serbia
99,Denmark
